Country,All cocaine entrants - %,All cocaine entrants - count,First-time cocaine entrants - %,First-time cocaine entrants - count,Previously treated cocaine entrants - %,Previously treated cocaine entrants - count
Belgium,3.3,98,1.4,13,4.3,80
Bulgaria,2.7,2,0,0,5.7,2
Czechia,5,3,3.7,1,6.5,2
Denmark,0.9,11,0.3,2,1.4,9
Germany,1.8,49,0.9,13,2.9,30
Estonia,38.5,5,50,2,33.3,3
Ireland,0.7,28,-,-,1.4,24
Greece,5.9,42,2,7,10,35
Spain,0.7,134,0.4,39,1.1,94
France,4.7,186,1.9,34,8.7,105
Croatia,1.7,2,1.4,1,2.3,1
Italy,1.8,230,1,53,2.4,177
Cyprus,7,16,7.3,9,7.3,7
Latvia,0,0,0,0,0,0
Lithuania,-,-,-,-,-,-
Luxembourg,43.1,25,9.1,1,51.1,24
Hungary,2.5,6,1.8,3,5.7,2
Malta,5.6,42,1.6,4,7.7,38
Netherlands,0.4,5,0.1,1,0.6,4
Austria,5.7,35,2.1,6,8.9,29
Poland,1.4,2,1.4,1,1.4,1
Portugal,1.6,14,0.7,4,2.9,10
Romania,0,0,0,0,0,0
Slovenia,18.8,3,10,1,33.3,2
Slovakia,3.6,1,-,-,11.1,1
Finland,0,0,0,0,0,0
Sweden,8.3,1,-,-,-,-
Türkiye,0,0,0,0,-,-
Norway,-,-,-,-,-,-
European Union,1.8,940,0.8,199,2.7,680
"EU, Türkiye and Norway",1.8,940,0.8,199,2.7,680
