Country,Year of survey,"General population surveys - lifetime, all adults (15-64)","General population surveys - last 12 months, young adults (15-34)","School surveys - lifetime, students (15-16)"
Belgium,2018,‒,0.8,1.2
Bulgaria,2020,2.1,1.4,3
Czechia,2021,1.8,0.3,1
Denmark,2023,7.9,1,1
Germany,2021,6.1,2.9,2
Estonia,2018,6.1,2.1,3
Ireland,2019,4.8,2.3,2
Greece,‒,‒,‒,1
Spain,2022,4.6,1.1,1
France,2017,2.17,0.6,1
Croatia,2019,4.6,3.5,2
Italy,2022,2.2,1.3,1
Cyprus,2022,0.9,0.9,2
Latvia,2020,1.8,1.2,2
Lithuania,2021,1.4,0.6,1
Luxembourg,2019,1.3,0.3,1
Hungary,2019,1.5,0.8,3
Malta,2013,0.3,‒,1
Netherlands,2022,6.3,3.2,1
Austria,2022,4.5,1.4,2
Poland,2018,2.4,1.4,3
Portugal,2016,0.4,0,2
Romania,2019,0.2,0.1,1
Slovenia,2018,2.3,1.1,1
Slovakia,2023,1.3,0.1,1
Finland,2018,4.7,3,2
Sweden (1),2021,‒,1.6,0.8
Türkiye,2017,0.033,‒,‒
Norway,2022,5.2,0.7,2
European Union,‒,3.5,1.5,‒
"EU, Türkiye and Norway",‒,‒,‒,‒
