Country,Year of survey,"General population surveys - lifetime, all adults (15-64)","General population surveys - last 12 months, young adults (15-34)","School surveys - lifetime, students (15-16)"
Belgium,2018,‒,2.5,1.8
Bulgaria,2020,1.3,0.7,3
Czechia,2022,8.1,4.7,4
Denmark,2023,5,1.1,2
Germany,2021,5.6,2.7,2
Estonia,2018,5.4,2.5,5
Ireland,2019,10.3,6.5,3
Greece,2015,0.6,0.4,1
Spain,2022,5.1,1.8,1
France,2017,3.86,1.31,2
Croatia,2019,4.2,2.6,2
Italy,2022,3.8,2.1,1
Cyprus,2022,2.4,1.8,3
Latvia,2020,1.9,1.6,5
Lithuania,2021,1.8,0.8,3
Luxembourg,2019,2,0.9,1
Hungary,2019,2.5,1.1,3
Malta,2013,0.7,–,1
Netherlands,2022,12.7,9.8,3
Austria,2022,4.9,1.5,3
Poland,2018,1,0.5,3
Portugal,2022,0.9,0.3,3
Romania,2019,1,0.8,1
Slovenia,2018,2.9,1.3,3
Slovakia,2023,4.9,2.1,3
Finland,2022,6.8,2.5,1
Sweden (1),2021,‒,2,1.1
Türkiye,2017,0.353,0.159,‒
Norway,2022,4.7,1.2,2
European Union,‒,4.3,2.2,‒
"EU, Türkiye and Norway",‒,‒,‒,‒
