Country,Year of survey,"General population surveys - lifetime, all adults (15-64)","General population surveys - last 12 months, young adults (15-34)","School surveys - lifetime, students (15-16)"
Belgium,2018,22.6,13.6,17.3
Bulgaria,2020,8.7,5.9,17
Czechia,2022,30.4,13.5,28
Denmark,2023,37.6,12.5,17
Germany,2021,34.7,17.2,22
Estonia,2018,24.5,16.6,20
Ireland,2019,24.4,13.8,19
Greece,2015,11,4.5,8
Spain,2022,40.9,19.1,23
France,2021,47.3,19.2,23
Croatia,2019,22.9,20.3,21
Italy,2022,34.8,21.5,27
Cyprus,2022,18,10.6,8
Latvia,2020,15,8.2,26
Lithuania,2021,13.7,8.8,18
Luxembourg,2019,23.3,12,19
Hungary,2019,6.1,3.4,13
Malta,2013,4.3,–,12
Netherlands,2022,28.8,18.2,22
Austria,2020,22.7,11.1,21
Poland,2018,12.1,7.8,21
Portugal,2022,12.2,4.9,13
Romania,2019,6.1,6,9
Slovenia,2018,20.7,12.3,23
Slovakia,2023,23.1,10.2,24
Finland,2022,31.2,15.1,11
Sweden (1),2022,17.8,6.6,5.1
Türkiye,2017,2.725,1.846,‒
Norway,2022,27.1,11,9
European Union,‒,29.9,15,‒
"EU, Türkiye and Norway",‒,‒,‒,‒
