Country,Substance,Type,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Türkiye,Cannabis,Herbal,124.7,180.1,92.5,45.8,110.9,94.4,49.2,62.7,56.2,31,42.5
Greece,Cannabis,Herbal,22.4,20.9,19.6,2.5,12.9,24.9,12.8,12.5,7.8,5.9,6.2
Poland,Cannabis,Herbal,1.5,1.2,2.7,1.8,2.6,1,4.3,3.5,5.3,9.2,7.3
Italy,Cannabis,Herbal,21.5,28.8,33.4,9.3,41.6,90.1,39.2,23.6,19.9,47,33.1
France,Cannabis,Herbal,3.3,4.8,10.1,16.8,18.2,20.2,29.8,30,46.3,39.5,41
Other countries,Cannabis,Herbal,32.5,30.7,30.5,28.5,32.1,31.6,35.7,21.6,19.5,25,53
Spain,Cannabis,Herbal,12.5,16.3,15.2,15.9,21.1,34.5,37.2,39.9,59.9,130.1,126
Türkiye,Cannabis,Resin,27.4,94.3,30.6,7.9,36,81.4,31.5,27.9,37.5,33.1,29.3
Belgium,Cannabis,Resin,1.3,4.3,0.8,7,0.7,0.9,0.1,0.2,13.9,13.3,2.8
Italy,Cannabis,Resin,21.9,36.3,113.2,67.8,23.9,18.8,78.5,21,9.7,20.1,13.9
Other countries,Cannabis,Resin,27.4,13,10.5,14.4,13.6,25.7,58.8,20.9,22.1,23.9,19.7
Portugal,Cannabis,Resin,18.3,8.7,32.9,2.4,7.1,14.8,4.2,3.2,33.6,14.8,23.4
France,Cannabis,Resin,51.1,70.9,36.9,60.8,52.7,67.3,85.4,74.3,50.2,72.4,87.6
Spain,Cannabis,Resin,327.2,319.3,379.8,380.4,324.4,334.9,437,349.5,461,672.7,324.7
