"Country","City","Substance targeted","Current value","Previous value","Current year","Previous year","Percentage change","Change","SiteID","Location","Latitude","Longitude","Population","Institution"
"CY","Agia Napa","cocaine",75.59,34.76,2023,2022,"117.5","increase","CY001","Sewage treatment plant of Agia Napa-Paralimni",34.9907544470417,33.9999814169353,70773,"Magda Psichoudaki - Nireas IWRC"
"NL","Amsterdam","cocaine",1209.96,1142.43,2023,2022,"5.9","stable","NL001","RWZI Amsterdam-WEST",52.375,4.8666668,689470,"KWR Water Research Institute"
"TR","Ankara","cocaine",10.61,,2023,,,"no previous data","TR002","Tatlar",39.93436,32.88606,4735531,"Ankara- Lab139"
"BE","Antwerp Zuid","cocaine",1721.58,2381.39,2023,2022,"-27.7","decrease","BE002","Antwerpen-Zuid",51.2,4.39,130218,"Toxicological Centre"
"GR","Athens","cocaine",133.39,103.99,2023,2022,"28.3","increase","GR001","City of Athens WWTP",37.9928017,23.7658005,3700000,"University of Athens"
"ES","Barcelona","cocaine",619.47,622.26,2023,2022,"-0.4","stable","ES001","Baix Llobregat",41.43,1.97,1200831,"IDAEA-CSIC"
"LU","Boevange","cocaine",119.91,,2023,,,"no previous data","LU001","Boevange",50.04657,5.93265,8657,"Laboratoire national de santÃ©"
"IT","Bozen","cocaine",447.22,366.87,2023,2022,"21.9","increase","IT001","KlÃ¤ranlage Bozen",46.49672,11.358,283000,"Medical University Innsbruck"
"SK","Bratislava C","cocaine",194.71,226.52,2023,2022,"-14","decrease","SK002","Central",48.14925,17.106991,450000,"University of South Bohemia in ÄŒeskÃ© Budejovice - VodÅˆany"
"CZ","Brno","cocaine",115.61,91.31,2023,2022,"26.6","increase","CZ001","Waterworks and sewage of city Brno",49.19506,16.606837,445000,"FFPW USB"
"BE","Brussels","cocaine",598.22,984.8,2023,2022,"-39.299999999999997","decrease","BE005","Brussel-Noord",50.86,4.36,953987,"Toxicological Centre"
"RO","Bucharest","cocaine",175.53,,2023,,,"no previous data","RO001","Glina",44.4275,26.10081,2160169,"Toxicological Centre"
