"Country","Country code","Survey year","Prevalence (%)","Substance","Recall period","Age","Sample size","Males (%)","Females (%)"
"Austria","AT",2020,22.7,"Cannabis","Lifetime","All adults (15-64)",4650,24.8,20.6
"Austria","AT",2020,27.2,"Cannabis","Lifetime","Young adults (15-34)",1712,26.8,27.6
"Austria","AT",2020,6.3,"Cannabis","Last year","All adults (15-64)",4650,6.8,5.8
"Austria","AT",2020,11.1,"Cannabis","Last year","Young adults (15-34)",1712,10.7,11.4
"Austria","AT",2020,3.6,"Cannabis","Last month","All adults (15-64)",4650,4,3.1
"Austria","AT",2020,6.8,"Cannabis","Last month","Young adults (15-34)",1712,7.4,6.2
"Austria","AT",2022,6.2,"Cocaine","Lifetime","All adults (15-64)",5162,7.2,5.1
"Austria","AT",2022,6.9,"Cocaine","Lifetime","Young adults (15-34)",1792,7.4,6.4
"Austria","AT",2022,1.5,"Cocaine","Last year","All adults (15-64)",5162,2,1.1
"Austria","AT",2022,2.2,"Cocaine","Last year","Young adults (15-34)",1792,2.7,1.8
"Austria","AT",2022,0.8,"Cocaine","Last month","All adults (15-64)",5162,1.1,0.5
"Austria","AT",2022,1,"Cocaine","Last month","Young adults (15-34)",1792,1.1,0.8
"Austria","AT",2022,4.5,"Amphetamines","Lifetime","All adults (15-64)",5162,5.3,3.6
"Austria","AT",2022,5.4,"Amphetamines","Lifetime","Young adults (15-34)",1792,6.9,3.7
"Austria","AT",2022,0.9,"Amphetamines","Last year","All adults (15-64)",5162,1.2,0.6
"Austria","AT",2022,1.4,"Amphetamines","Last year","Young adults (15-34)",1792,1.7,1.1
"Austria","AT",2022,0.5,"Amphetamines","Last month","All adults (15-64)",5162,0.6,0.3
"Austria","AT",2022,0.5,"Amphetamines","Last month","Young adults (15-34)",1792,0.5,0.5
"Austria","AT",2022,4.9,"Ecstasy","Lifetime","All adults (15-64)",5162,5.4,4.5
"Austria","AT",2022,6.2,"Ecstasy","Lifetime","Young adults (15-34)",1792,6.9,5.3
"Austria","AT",2022,1,"Ecstasy","Last year","All adults (15-64)",5162,1.2,0.7
"Austria","AT",2022,1.5,"Ecstasy","Last year","Young adults (15-34)",1792,1.8,1.2
"Austria","AT",2022,0.5,"Ecstasy","Last month","All adults (15-64)",5162,0.5,0.4
"Austria","AT",2022,0.8,"Ecstasy","Last month","Young adults (15-34)",1792,0.9,0.7
"Austria","AT",2015,1.7,"LSD","Lifetime","All adults (15-64)",3477,1.6,1.7
"Austria","AT",2015,1.4,"LSD","Lifetime","Young adults (15-34)",1837,1.5,1.4
"Austria","AT",2015,0.3,"LSD","Last year","All adults (15-64)",3477,0.3,0.3
"Austria","AT",2015,0.3,"LSD","Last year","Young adults (15-34)",1837,0.3,0.3
"Austria","AT",2015,0,"LSD","Last month","All adults (15-64)",3477,0.1,0
"Austria","AT",2015,0.1,"LSD","Last month","Young adults (15-34)",1837,0.2,0
"Austria","AT",2020,94.9,"Alcohol","Lifetime","All adults (15-64)",4650,95.4,94.3
"Austria","AT",2020,90.1,"Alcohol","Lifetime","Young adults (15-34)",1712,89.7,90.4
"Austria","AT",2020,85.3,"Alcohol","Last year","All adults (15-64)",4650,86.2,84.4
"Austria","AT",2020,76.8,"Alcohol","Last year","Young adults (15-34)",1712,76.4,77.2
"Austria","AT",2020,77.2,"Alcohol","Last month","All adults (15-64)",4650,79.8,74.5
"Austria","AT",2020,67.4,"Alcohol","Last month","Young adults (15-34)",1712,68.9,65.7
"Austria","AT",2020,72.9,"Tobacco","Lifetime","All adults (15-64)",4650,73.5,72.4
"Austria","AT",2020,63.9,"Tobacco","Lifetime","Young adults (15-34)",1712,62,66
"Austria","AT",2015,37.5,"Tobacco","Last year","All adults (15-64)",3477,40.4,34.6
"Austria","AT",2015,41.6,"Tobacco","Last year","Young adults (15-34)",1837,42,41.2
"Austria","AT",2020,26.1,"Tobacco","Last month","All adults (15-64)",4650,27.3,24.8
"Austria","AT",2020,29.9,"Tobacco","Last month","Young adults (15-34)",1712,31.6,28.2
"Belgium","BE",2018,22.6,"Cannabis","Lifetime","All adults (15-64)",3954,28.1,17.3
"Belgium","BE",2018,32.8,"Cannabis","Lifetime","Young adults (15-34)",772,39,26.6
"Belgium","BE",2018,7,"Cannabis","Last year","All adults (15-64)",3954,10.4,3.7
"Belgium","BE",2018,13.6,"Cannabis","Last year","Young adults (15-34)",772,19.5,7.8
"Belgium","BE",2018,4.3,"Cannabis","Last month","All adults (15-64)",3954,6.7,1.9
"Belgium","BE",2018,8.1,"Cannabis","Last month","Young adults (15-34)",772,12.2,4
"Belgium","BE",2018,1.4,"Cocaine","Last year","All adults (15-64)",3954,2.2,0.5
"Belgium","BE",2018,2.9,"Cocaine","Last year","Young adults (15-34)",772,4.7,1.1
"Belgium","BE",2018,0.5,"Amphetamines","Last year","All adults (15-64)",3954,0.8,0.1
"Belgium","BE",2018,0.8,"Amphetamines","Last year","Young adults (15-34)",772,1.4,0.3
"Belgium","BE",2018,1.2,"Ecstasy","Last year","All adults (15-64)",3954,1.9,0.5
