"Country","Country code","Geographical scope","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Substance","Recall period","Age"
"Austria","AT","National",,,,,,,,,,,,,,,20.1,,,,14.2,,,,,,,23.6,,,,,22.7,,,,"Cannabis","Lifetime","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,28,,,,19.2,,,,,,,32.5,,,,,27.2,,,,"Cannabis","Lifetime","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,7.5,,,,3.5,,,,,,,6.4,,,,,6.3,,,,"Cannabis","Last year","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,12.1,,,,6.6,,,,,,,14.1,,,,,11.1,,,,"Cannabis","Last year","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,3.8,,,,1.7,,,,,,,2.5,,,,,3.6,,,,"Cannabis","Last month","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,6.4,,,,3.4,,,,,,,5.6,,,,,6.8,,,,"Cannabis","Last month","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,2.3,,,,2.2,,,,,,,3,,,,,,,6.2,,"Cocaine","Lifetime","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,2.8,,,,2.8,,,,,,,3.1,,,,,,,6.9,,"Cocaine","Lifetime","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,0.9,,,,0.9,,,,,,,0.4,,,,,,,1.5,,"Cocaine","Last year","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,1.6,,,,1.2,,,,,,,0.4,,,,,,,2.2,,"Cocaine","Last year","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,0.4,,,,0.6,,,,,,,0,,,,,,,0.8,,"Cocaine","Last month","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,0,,,,,,,1,,"Cocaine","Last month","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,2.4,,,,2.5,,,,,,,2.2,,,,,,,4.5,,"Amphetamines","Lifetime","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,3.5,,,,3.1,,,,,,,3.3,,,,,,,5.4,,"Amphetamines","Lifetime","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,0.8,,,,0.5,,,,,,,0.4,,,,,,,0.9,,"Amphetamines","Last year","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,1.5,,,,0.9,,,,,,,0.9,,,,,,,1.4,,"Amphetamines","Last year","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,0.4,,,,0.2,,,,,,,0.1,,,,,,,0.5,,"Amphetamines","Last month","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,0.6,,,,0.3,,,,,,,0.1,,,,,,,0.5,,"Amphetamines","Last month","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,3,,,,2.3,,,,,,,2.9,,,,,,,4.9,,"Ecstasy","Lifetime","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,4.6,,,,3.3,,,,,,,4,,,,,,,6.2,,"Ecstasy","Lifetime","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,0.9,,,,0.5,,,,,,,0.4,,,,,,,1,,"Ecstasy","Last year","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,1.7,,,,1,,,,,,,1.1,,,,,,,1.5,,"Ecstasy","Last year","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,0.4,,,,0.2,,,,,,,0,,,,,,,0.5,,"Ecstasy","Last month","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,0.8,,,,0.5,,,,,,,0.1,,,,,,,0.8,,"Ecstasy","Last month","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,1.7,,,,1.9,,,,,,,1.7,,,,,,,,,"LSD","Lifetime","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,1.8,,,,1.9,,,,,,,1.4,,,,,,,,,"LSD","Lifetime","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,0.2,,,,0.2,,,,,,,0.3,,,,,,,,,"LSD","Last year","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,0.4,,,,0.4,,,,,,,0.3,,,,,,,,,"LSD","Last year","Young adults (15-34)"
"Austria","AT","National",,,,,,,,,,,,,,,0.1,,,,0,,,,,,,0,,,,,,,,,"LSD","Last month","All adults (15-64)"
"Austria","AT","National",,,,,,,,,,,,,,,0.2,,,,0,,,,,,,0.1,,,,,,,,,"LSD","Last month","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,10.6,,,13,,,,14.3,,,,,15,,,,,22.6,,,,,,"Cannabis","Lifetime","All adults (15-64)"
"Belgium","BE","National",,,,,,,,,,,,19.2,,,23.7,,,,26,,,,,28.4,,,,,32.8,,,,,,"Cannabis","Lifetime","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,,,,5,,,,5.1,,,,,4.6,,,,,7,,,,,,"Cannabis","Last year","All adults (15-64)"
"Belgium","BE","National",,,,,,,,,,,,,,,11.3,,,,11.2,,,,,10.1,,,,,13.6,,,,,,"Cannabis","Last year","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,2.7,,,3,,,,3.1,,,,,2.6,,,,,4.3,,,,,,"Cannabis","Last month","All adults (15-64)"
"Belgium","BE","National",,,,,,,,,,,,5.9,,,7.6,,,,6.9,,,,,5.5,,,,,8.1,,,,,,"Cannabis","Last month","Young adults (15-34)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cocaine","Lifetime","All adults (15-64)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cocaine","Lifetime","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,,,,,,,,0.9,,,,,0.5,,,,,1.4,,,,,,"Cocaine","Last year","All adults (15-64)"
"Belgium","BE","National",,,,,,,,,,,,,,,,,,,2,,,,,0.9,,,,,2.9,,,,,,"Cocaine","Last year","Young adults (15-34)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cocaine","Last month","All adults (15-64)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cocaine","Last month","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,"Amphetamines","Lifetime","All adults (15-64)"
"Belgium","BE","National",,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,"Amphetamines","Lifetime","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.5,,,,,,"Amphetamines","Last year","All adults (15-64)"
"Belgium","BE","National",,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.8,,,,,,"Amphetamines","Last year","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,"Amphetamines","Last month","All adults (15-64)"
"Belgium","BE","National",,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,"Amphetamines","Last month","Young adults (15-34)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ecstasy","Lifetime","All adults (15-64)"
"Belgium","BE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ecstasy","Lifetime","Young adults (15-34)"
"Belgium","BE","National",,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,1.2,,,,,,"Ecstasy","Last year","All adults (15-64)"
