"Year","Drug checking","Drug consumption rooms","Methadone maintenance treatment","Needle and syringe programmes","Take-home naloxone"
1967," "," ","1"," "," "
1968," "," ","2"," "," "
1969," "," "," "," "," "
1970," "," ","3"," "," "
1971," "," "," "," "," "
1972," "," "," "," "," "
1973," "," "," "," "," "
1974," "," ","4"," "," "
1975," "," ","5"," "," "
1976," "," "," "," "," "
1977," "," ","6"," "," "
1978," "," "," "," "," "
1979," "," "," "," "," "
1980," "," "," "," "," "
1981," "," "," "," "," "
1982," "," "," "," "," "
1983," "," "," "," "," "
1984," "," "," ","2"," "
1985," "," "," ","3"," "
1986," "," "," ","6"," "
1987," "," ","8","7"," "
1988," "," "," ","8"," "
1989," "," ","9","11"," "
1990," "," ","11","13"," "
1991," "," ","12"," "," "
1992,"1"," ","15","14"," "
1993," "," ","16","16"," "
1994," "," ","17","19"," "
1995," "," ","20","21"," "
1996,"2"," ","22"," "," "
1997,"5"," ","23","25"," "
1998," "," ","26","26"," "
1999," "," "," "," "," "
2000," "," "," ","27"," "
2001,"7"," ","27"," "," "
2002," "," "," "," "," "
2003," "," "," "," "," "
2004," "," "," "," "," "
2005," "," "," "," "," "
2006," "," "," "," "," "
2007," "," "," ","28"," "
2008," "," "," "," "," "
2009," "," "," "," "," "
2010," "," "," "," ","1"
2011," "," "," "," "," "
2012," "," "," "," "," "
2013," "," "," "," ","2"
2014,"8"," "," "," ","4"
2015," ","1"," "," ","6"
2016,"9","2"," "," ","7"
2017," ","6"," "," ","9"
2018,"10","8"," "," ","11"
2019," ","9"," "," ","13"
2020,"12"," "," "," ","15"
2021," "," "," "," "," "
2022,"12",,,,
2023,,"10","27","28","16"
