ISO Code,Country,Availability
AT,Austria,Available
BE,Belgium,Not available
BG,Bulgaria,Not available
HR,Croatia,Not available
CY,Cyprus,Available
CZ,Czechia,Available
DK,Denmark,Available
EE,Estonia,Available
FI,Finland,Not available
FR,France,Available
DE,Germany,Available
EL,Greece,Not available
HU,Hungary,Not available
IE,Ireland,Available
IT,Italy,Available
LV,Latvia,Not available
LT,Lithuania,Available
LU,Luxembourg,Not available
MT,Malta,Not available
NL,Netherlands,Not available
NO,Norway,Available
PL,Poland,Not available
PT,Portugal,Available
RO,Romania,Not available
SK,Slovakia,Not available
SI,Slovenia,Available
ES,Spain,Available
SE,Sweden,Available
TR,Türkiye,Not available
