Country,Lower estimate,Central estimate,Upper estimate,,Year_syringes,Year_injectors
Belgium,124,168,245,,2022,2019
Bulgaria,0,0,0,,2022,2020
Croatia,27,35,43,,2022,2015
Cyprus,8,13,18,,2022,2022
Czechia,211,215,218,,2022,2022
Estonia,171,191,213,,2022,2015
Finland,,277,,,2022,2017
France,114,118,122,,2018,2020
Greece,202,302,423,,2022,2022
Hungary,,6,,,2021,2015
Italy,4,5,6,,2017,2021
Latvia,113,127,145,,2022,2016
Lithuania,51,54,57,,2022,2016
Luxembourg,,517,,,2022,2019
Norway,408,444,521,,2022,2021
Portugal,39,85,174,,2022,2015
Spain,126,176,296,,2021,2021
