"Country","City","Substance targeted","Current value","Previous value","Current year","Previous year","Percentage change","Change","SiteID","Location","Latitude","Longitude","Population","Institution"
"DK","Aarhus","MDMA",17.7,,2023,,,"no previous data","DK001","Marselisborg",56.1631,10.20256,125900,"Department of Forensic Medicine, Aarhus University"
"CY","Agia Napa","MDMA",4.12,2.29,2023,2022,"79.900000000000006","increase","CY001","Sewage treatment plant of Agia Napa-Paralimni",34.9907544470417,33.9999814169353,70773,"Magda Psichoudaki - Nireas IWRC"
"PT","Almada","MDMA",13.23,23.58,2023,2022,"-43.9","decrease","PT001","Mutela",38.675187,-9.154345,138685,"INMLCF"
"NL","Amsterdam","MDMA",194.56,182.32,2023,2022,"6.7","stable","NL001","RWZI Amsterdam-WEST",52.375,4.8666668,689470,"KWR Water Research Institute"
"TR","Ankara","MDMA",8.81,,2023,,,"no previous data","TR002","Tatlar",39.93436,32.88606,4735531,"Ankara- Lab139"
"BE","Antwerp Zuid","MDMA",318.23,134.12,2023,2022,"137.30000000000001","increase","BE002","Antwerpen-Zuid",51.2,4.39,130218,"Toxicological Centre"
"GR","Athens","MDMA",3.97,2.39,2023,2022,"66.099999999999994","increase","GR001","City of Athens WWTP",37.9928017,23.7658005,3700000,"University of Athens"
"ES","Barcelona","MDMA",54.82,45.53,2023,2022,"20.399999999999999","increase","ES001","Baix Llobregat",41.43,1.97,1200831,"IDAEA-CSIC"
"LU","Boevange","MDMA",12.7,,2023,,,"no previous data","LU001","Boevange",50.04657,5.93265,8657,"Laboratoire national de santÃ©"
"IT","Bozen","MDMA",5.61,3.39,2023,2022,"65.5","increase","IT001","KlÃ¤ranlage Bozen",46.49672,11.358,283000,"Medical University Innsbruck"
"SK","Bratislava C","MDMA",13.9,12.21,2023,2022,"13.8","increase","SK002","Central",48.14925,17.106991,450000,"University of South Bohemia in ÄŒeskÃ© Budejovice - VodÅˆany"
"CZ","Brno","MDMA",15.51,16.58,2023,2022,"-6.5","stable","CZ001","Waterworks and sewage of city Brno",49.19506,16.606837,445000,"FFPW USB"
"BE","Brussels","MDMA",30.02,53.7,2023,2022,"-44.1","decrease","BE005","Brussel-Noord",50.86,4.36,953987,"Toxicological Centre"
"RO","Bucharest","MDMA",15.16,,2023,,,"no previous data","RO001","Glina",44.4275,26.10081,2160169,"Toxicological Centre"
"ES","Castellon","MDMA",8.13,23.32,2023,2022,"-65.099999999999994","decrease","ES002","EDAR CastellÃ³n",40.23,-0.12,177606,"IUPA"
"DE","Chemnitz","MDMA",12.84,7.34,2023,2022,"74.900000000000006","increase","DE008","Chemnitz",50.827845,12.92137,239402,"Clinical Pharmacology TU Dresden"
"SI","DomÅ¾ale-Kamnik","MDMA",6.21,7.58,2023,2022,"-18.100000000000001","decrease","SI001","DomÅ¾ale-Kamnik",46.13788,14.59384,77981,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"DE","Dortmund","MDMA",77.18,11.62,2023,2022,"564.20000000000005","increase","DE009","Deusen",51.52,7.46,399700,"Clinical Pharmacology TU Dresden"
"DE","Dresden","MDMA",12.43,8.18,2023,2022,"52","increase","DE010","Dresden-Kaditz",51.05089,13.73832,671806,"Clinical Pharmacology TU Dresden"
"DE","Erfurt","MDMA",15.24,13.45,2023,2022,"13.3","increase","DE012","Erfurt",50.984768,11.02988,215323,"Clinical Pharmacology TU Dresden"
"FI","Espoo","MDMA",18.14,8.3,2023,2022,"118.6","increase","FI001","BlominmÃ¤ki",60.16,24.71,390000,"THL/Forensic Toxicology"
"ES","Granada","MDMA",3.27,,2023,,,"no previous data","ES003","Biofactoria Sur",37.17752,-3.59539,233821,"UGR"
"AT","Graz","MDMA",23.73,12.43,2023,2022,"90.9","increase","AT001","ARA Graz",47.070713,15.439504,462000,"Medical University Innsbruck"
"SE","GÃ¤vle","MDMA",12.27,8.93,2023,2022,"37.4","increase","SE002","Duvbacken ARV",60.674622,17.14183,88668,"RISE"
"AT","Hall-Wattens","MDMA",7.61,5.73,2023,2022,"32.799999999999997","increase","AT002","Abwasserverband Hall in Tirol-Fritzens",47.29168,11.59284,84000,"Medical University Innsbruck"
"FI","Helsinki","MDMA",31.39,17.66,2023,2022,"77.7","increase","FI002","ViikinmÃ¤ki",60.23,24.99,860000,"THL/Forensic Toxicology"
"AT","Innsbruck","MDMA",19.57,15.59,2023,2022,"25.5","increase","AT004","ARA Innsbruck",47.269212,11.404102,293000,"Medical University Innsbruck"
"TR","Istanbul (II-VII)","MDMA",23.31,6.49,2023,2022,"259.2","increase","TR004","ATAKÃ–Y; BALTALÄ°MANI; KADIKÃ–Y; KÃœÃ‡ÃœKÃ‡EKMECE; TUZLA; YENÄ°KAPI",41.013,28.9748,16525000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa"
"AT","Kapfenberg","MDMA",5.77,5.58,2023,2022,"3.4","stable","AT005","KlÃ¤ranlage Kapfenberg",47.443562,15.2901,39000,"Medical University Innsbruck"
"CZ","Karlovy Vary","MDMA",12.8,10.06,2023,2022,"27.2","increase","CZ003","ÄŒOV Karloy Vary",50.23204,12.87099,67544,"T.G.Masaryk Water Research Institute"
"LT","Kaunas","MDMA",14.86,15.04,2023,2022,"-1.2","stable","LT001","Kaunas",54.89687,23.89243,291333,"Toxicological Centre"
"AT","Klagenfurt","MDMA",7.09,9.89,2023,2022,"-28.3","decrease","AT006","Wasserverband WÃ¶rthersee Ost",46.6357,14.311817,232000,"Medical University Innsbruck"
"LT","Klaipeda","MDMA",8.27,7.61,2023,2022,"8.6999999999999993","stable","LT002","Klaipeda",55.78282,21.49279,387400,"Toxicological Centre"
"AT","Knittelfeld","MDMA",6.49,4.08,2023,2022,"59.1","increase","AT008","AWV Knittelfeld",47.21595,14.82719,37000,"Medical University Innsbruck"
"SI","Koper","MDMA",7.07,4.71,2023,2022,"50.1","increase","SI002","Central wastewater treatment plant Koper",45.548058,13.730188,49843,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
