"Year","Cathinones","Cannabinoids","Opioids","Benzodiazepines","Aminoindanes","Arylalkylamines","Arylcyclohexylamines","Other substances","Phenethylamines","Piperazines","Piperidines and pyrrolidines","Tryptamines","Plants and extracts"
2005,"1"," "," "," "," ","1"," "," ","3","2"," ","6"," "
2006," "," "," "," ","1","1"," "," ","2","3"," "," "," "
2007," "," "," ","1"," ","2"," "," ","3","2","1","2","3"
2008,"6","1"," "," "," "," "," ","1","1"," "," ","1","3"
2009,"4","6","1"," "," "," "," ","2","5"," ","1","2"," "
2010,"14","11"," "," ","1","3","2","3","3","1","1","1","1"
2011,"7","23"," ","1","1","5","1","4","4"," ","2"," "," "
2012,"4","31","3","1"," ","5","3","8","14","1"," ","4"," "
2013,"8","29","4","2","1","6","1","13","14","1","1","1"," "
2014,"31","30","4","4"," ","4"," ","14","9"," "," ","5"," "
2015,"26","24","4","5"," ","4","2","12","9","3","6","3"," "
2016,"14","11","9","6"," ","3","6","10","5"," ","1","1"," "
2017,"12","10","13","3"," ","1","1","4","4"," ","1","2"," "
2018,"8","11","11","5"," ","1","1","9","5"," "," ","4"," "
2019,"10","8","8","2"," ","1"," ","13","3","2","1","5"," "
2020,"8","11","10"," ","1","4","3","4"," "," "," ","5"," "
2021,"6","15","6","3"," "," ","5","9","4"," "," ","4"," "
2022,"5","24","1","2"," ","1","2","3","1","1"," ","1"," "
2023,"3","9","7","1",,,,"2","4",,,,
