Year,Series,Country,Low,Estimate,High
2022,2022 or most recent,Latvia,7.99,9.86,12.04
2021,2022 or most recent,Romania,8.06,10.39,13.39
2022,2022 or most recent,Lithuania,8.66,14.37,21.1
2022,2022 or most recent,Slovakia,10.79,15.11,19.43
2022,2022 or most recent,Cyprus,12.82,18.97,27.42
2022,2022 or most recent,Poland,21.78,27.35,36.74
2022,2022 or most recent,Denmark,16.82,28.02,40.61
2018,2022 or most recent,Italy,33.39,41.66,55.39
2021,2022 or most recent,Austria,49.75,51.6,53.59
2022,2022 or most recent,Croatia,39.8,51.79,63.83
2019,2022 or most recent,Ireland,48.96,53.23,54.2
2022,2022 or most recent,Portugal,38.44,59.53,90.39
2022,2022 or most recent,Malta,60.22,62.37,64.48
2022,2022 or most recent,Slovenia,65.51,71.52,77.27
2021,2022 or most recent,France,77.82,79.63,81.52
2022,2022 or most recent,Czechia,78.12,80.65,83.33
2022,2022 or most recent,Norway,54.68,84.78,100
2022,2022 or most recent,Germany,78.45,,93.16
2022,2022 or most recent,Luxembourg,,90.47,
2022,2022 or most recent,Greece,87.54,100,100
2021,2022 or most recent,Spain,79.99,100,100
2012,Previous estimate,Latvia,3.8,5.38,7.4
2016,Previous estimate,Romania,5.41,7.07,9.07
2007,Previous estimate,Lithuania,7.05,7.24,7.43
2009,Previous estimate,Poland,9.86,12.9,18.68
2018,Previous estimate,Slovakia,10.84,19.99,27.57
2011,Previous estimate,Cyprus,25.06,30.98,37.18
2011,Previous estimate,Greece,29.9,33.13,36.61
2011,Previous estimate,Czechia,46.15,48.39,51.14
2011,Previous estimate,Ireland,44.09,53.16,57.42
2011,Previous estimate,Austria,53.94,55.38,56.89
2012,Previous estimate,Portugal,66.22,75.42,87.58
2021,Previous estimate,France,77.82,79.63,81.52
2010,Previous estimate,Spain,82.46,96.45,100
