"Year","Buprenorphine/naloxone combination","Heroin assisted treatment (including pilots)","High-dosage buprenorphine treatment","Methadone maintenance treatment","Opioid agonist treatment in prison","Slow-release morphine"
1967," "," "," ","1"," "," "
1968," "," "," ","2"," "," "
1969," "," "," "," "," "," "
1970," "," "," ","3"," "," "
1971," "," "," "," "," "," "
1972," "," "," "," "," "," "
1973," "," "," "," "," "," "
1974," "," "," ","4"," "," "
1975," "," "," ","5"," "," "
1976," "," "," "," "," "," "
1977," "," "," ","6"," "," "
1978," "," "," "," "," "," "
1979," "," "," "," "," "," "
1980," "," "," "," "," "," "
1981," "," "," "," "," "," "
1982," "," "," "," "," "," "
1983," "," "," "," "," "," "
1984," "," "," "," "," "," "
1985," "," "," "," ","1"," "
1986," "," "," "," "," "," "
1987," "," "," ","8","2"," "
1988," "," "," "," ","3"," "
1989," "," "," ","9"," "," "
1990," "," "," ","11","4"," "
1991," "," "," ","12"," "," "
1992," "," "," ","15","6"," "
1993," "," "," ","16"," "," "
1994," "," "," ","17"," "," "
1995," "," "," ","20","9"," "
1996," "," ","1","22"," "," "
1997," "," ","2","23"," "," "
1998," ","1","3","26","10","1"
1999," "," ","8"," ","11"," "
2000," "," ","10"," ","14"," "
2001," "," ","11","27","15"," "
2002," "," ","14"," "," "," "
2003," ","3","15"," "," "," "
2004,"1"," ","16"," ","16"," "
2005," "," ","18"," "," ","3"
2006,"4"," ","19"," ","19","5"
2007,"7"," ","20"," "," "," "
2008,"13","4"," "," ","23"," "
2009,"16"," "," "," "," "," "
2010," "," "," "," ","24"," "
2011," ","5"," "," "," "," "
2012,"17"," "," "," ","25"," "
2013," "," "," "," "," "," "
2014," "," "," "," ","26"," "
2015," "," "," "," "," "," "
2016," "," "," "," "," "," "
2017," "," "," "," "," "," "
2018," "," "," "," "," "," "
2019,"18"," "," "," "," "," "
2020," "," "," "," "," "," "
2021," "," "," "," "," "," "
2022,,,,,,
2023,"18","5","20","27","26","5"
