"Country","City","Substance targeted","Current value","Previous value","Current year","Previous year","Percentage change","Change","SiteID","Location","Latitude","Longitude","Population","Institution"
"DK","Aarhus","ketamine",4.92,,2023,,,"no previous data","DK001","Marselisborg",56.1631,10.20256,125900,"Department of Forensic Medicine, Aarhus University"
"CY","Agia Napa","ketamine",1.26,0,2023,2022,"Inf","increase","CY001","Sewage treatment plant of Agia Napa-Paralimni",34.9907544470417,33.9999814169353,70773,"Magda Psichoudaki - Nireas IWRC"
"BE","Antwerp Zuid","ketamine",88.47,,2023,,,"no previous data","BE002","Antwerpen-Zuid",51.2,4.39,130218,"Toxicological Centre"
"GR","Athens","ketamine",0,0,2023,2022,,"stable","GR001","City of Athens WWTP",37.9928017,23.7658005,3700000,"University of Athens"
"ES","Barcelona","ketamine",52.18,29.45,2023,2022,"77.2","increase","ES001","Baix Llobregat",41.43,1.97,1200831,"IDAEA-CSIC"
"LU","Boevange","ketamine",1.31,,2023,,,"no previous data","LU001","Boevange",50.04657,5.93265,8657,"Laboratoire national de santÃ©"
"SK","Bratislava C","ketamine",3.71,,2023,,,"no previous data","SK002","Central",48.14925,17.106991,450000,"University of South Bohemia in ÄŒeskÃ© Budejovice - VodÅˆany"
"CZ","Brno","ketamine",2.01,1.28,2023,2022,"57","increase","CZ001","Waterworks and sewage of city Brno",49.19506,16.606837,445000,"FFPW USB"
"BE","Brussels","ketamine",25.06,,2023,,,"no previous data","BE005","Brussel-Noord",50.86,4.36,953987,"Toxicological Centre"
"RO","Bucharest","ketamine",9.23,,2023,,,"no previous data","RO001","Glina",44.4275,26.10081,2160169,"Toxicological Centre"
"ES","Castellon","ketamine",3,0,2023,2022,"Inf","increase","ES002","EDAR CastellÃ³n",40.23,-0.12,177606,"IUPA"
"SI","DomÅ¾ale-Kamnik","ketamine",0,0,2023,2022,,"stable","SI001","DomÅ¾ale-Kamnik",46.13788,14.59384,77981,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"DE","Dortmund","ketamine",11.03,,2023,,,"no previous data","DE009","Deusen",51.52,7.46,399700,"Clinical Pharmacology TU Dresden"
"DE","Dresden","ketamine",27.05,,2023,,,"no previous data","DE010","Dresden-Kaditz",51.05089,13.73832,671806,"Clinical Pharmacology TU Dresden"
"DE","Erfurt","ketamine",4.1,,2023,,,"no previous data","DE012","Erfurt",50.984768,11.02988,215323,"Clinical Pharmacology TU Dresden"
"ES","Granada","ketamine",0.95,,2023,,,"no previous data","ES003","Biofactoria Sur",37.17752,-3.59539,233821,"UGR"
"SE","GÃ¤vle","ketamine",14.1,1.2,2023,2022,"1075","increase","SE002","Duvbacken ARV",60.674622,17.14183,88668,"RISE"
"LT","Kaunas","ketamine",0,,2023,,,"no previous data","LT001","Kaunas",54.89687,23.89243,291333,"Toxicological Centre"
"LT","Klaipeda","ketamine",0,,2023,,,"no previous data","LT002","Klaipeda",55.78282,21.49279,387400,"Toxicological Centre"
"SI","Koper","ketamine",0,0,2023,2022,,"stable","SI002","Central wastewater treatment plant Koper",45.548058,13.730188,49843,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"PL","Krakow P","ketamine",4.23,1.66,2023,2022,"154.80000000000001","increase","PL003","Krakow Plaszow",50.06,19.94,680000,"Mario Negri Institute"
"SI","Kranj","ketamine",1.33,0,2023,2022,"Inf","increase","SI003","Central wastewater treatment plant Kranj",46.242834,14.355542,70000,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"CY","Larnaca","ketamine",0,1.89,2023,2022,"-100","decrease","CY002","Sewage Bioard of Larnaca",34.915164353041,33.6361988334665,92279,"Magda Psichoudaki - Nireas IWRC"
