Country,Substance,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Türkiye,Amphetamine,0.21,1.14,0.18,3.8,3.38,6.61,5.71,2.79,0.74,3.52,5.99
Bulgaria,Amphetamine,0.08,0.16,0.18,0.04,0.09,0.4,0.08,0.07,0.27,0.26,0.03
Norway,Amphetamine,0.18,0.32,0.32,0.5,0.4,0.43,0.39,0.45,0.44,0.51,0.2
Spain,Amphetamine,0.31,0.5,0.67,0.32,0.45,0.23,0.33,0.46,0.64,0.29,0.31
Denmark,Amphetamine,0.3,0.34,0.29,0.19,0.35,0.31,0.38,0.21,0.54,0.16,0.37
Poland,Amphetamine,0.61,0.68,0.78,0.7,0.94,0.58,1.32,1.68,1.92,2.08,1.82
Sweden,Amphetamine,0.32,0.63,0.41,0.53,0.43,0.75,1.05,1,1.12,1.55,1.89
Other countries,Amphetamine,2.46,2.27,2.22,3.96,3.66,2.76,2.35,13.28,17.86,2.42,2.67
Türkiye,Methamphetamine,0.5,0.11,0.13,0.26,0.25,0.66,0.56,1.04,4.16,5.53,15.83
Lithuania,Methamphetamine,0.05,0.06,0.01,0.06,0.01,0.02,0.04,0,0.09,0.02,0
Slovakia,Methamphetamine,0.01,0,0.01,0.01,0,0,0,0.01,1.52,0.02,0.01
Czechia,Methamphetamine,0.03,0.07,0.05,0.11,0.09,0.09,0.11,0.03,0.03,0.03,0.04
Bulgaria,Methamphetamine,0.01,0.03,0.03,0.03,0.01,0.01,0.02,0.02,0.03,0.17,0.05
Poland,Methamphetamine,0,0.01,0.04,0.05,0.02,0.03,0.03,0.54,0.3,0.16,0.11
Spain,Methamphetamine,0.01,0.05,0.17,0.04,0.07,0.04,0.08,1.58,0.08,0.16,0.15
Other countries,Methamphetamine,0.37,0.5,0.35,0.38,0.37,0.54,0.39,1.5,0.25,0.67,1.07
