"Country","Country code","Substance","Share"
"Austria","AT","Amphetamine","<10 %"
"Belgium","BE","Amphetamine","<10 %"
"Bulgaria","BG","Amphetamine","10-30 %"
"Croatia","HR","Amphetamine","10-30 %"
"Cyprus","CY","Amphetamine","<10 %"
"Czechia","CZ","Amphetamine","<10 %"
"Denmark","DK","Amphetamine","<10 %"
"Estonia","EE","Amphetamine",">30 %"
"Finland","FI","Amphetamine","10-30 %"
"France","FR","Amphetamine","<10 %"
"Germany","DE","Amphetamine","<10 %"
"Greece","GR","Amphetamine","<10 %"
"Hungary","HU","Amphetamine","10-30 %"
"Ireland","IE","Amphetamine","<10 %"
"Italy","IT","Amphetamine","<10 %"
"Latvia","LV","Amphetamine","10-30 %"
"Lithuania","LT","Amphetamine","10-30 %"
"Malta","MT","Amphetamine","<10 %"
"Netherlands","NL","Amphetamine","<10 %"
"Norway","NO","Amphetamine","<10 %"
"Poland","PL","Amphetamine","10-30 %"
"Portugal","PT","Amphetamine","<10 %"
"Romania","RO","Amphetamine","<10 %"
"Slovakia","SK","Amphetamine","<10 %"
"Spain","ES","Amphetamine","<10 %"
"Sweden","SE","Amphetamine","10-30 %"
"Türkiye","TR","Amphetamine","<10 %"
"Austria","AT","Methamphetamine","<10 %"
"Belgium","BE","Methamphetamine","<10 %"
"Bulgaria","BG","Methamphetamine","<10 %"
"Croatia","HR","Methamphetamine","<10 %"
"Cyprus","CY","Methamphetamine","10-30 %"
"Czechia","CZ","Methamphetamine",">30 %"
"Denmark","DK","Methamphetamine","No clients reported"
"Estonia","EE","Methamphetamine","No clients reported"
"Finland","FI","Methamphetamine","No clients reported"
"France","FR","Methamphetamine","<10 %"
"Germany","DE","Methamphetamine","<10 %"
"Greece","GR","Methamphetamine","<10 %"
"Hungary","HU","Methamphetamine","No clients reported"
"Ireland","IE","Methamphetamine","<10 %"
"Italy","IT","Methamphetamine","<10 %"
"Latvia","LV","Methamphetamine","<10 %"
"Lithuania","LT","Methamphetamine","No clients reported"
"Malta","MT","Methamphetamine","<10 %"
"Netherlands","NL","Methamphetamine","<10 %"
"Norway","NO","Methamphetamine","No clients reported"
"Poland","PL","Methamphetamine","10-30 %"
"Portugal","PT","Methamphetamine","No clients reported"
"Romania","RO","Methamphetamine","<10 %"
"Slovakia","SK","Methamphetamine",">30 %"
"Spain","ES","Methamphetamine","<10 %"
"Sweden","SE","Methamphetamine","No clients reported"
"Türkiye","TR","Methamphetamine",">30 %"
