"Country","City","Metabolite","Current estimate (mg/1000p/day)","Previous estimate (mg/1000p/day)","Year current estimate","Year previous estimate","Percentage change","Change evaluation","Site ID","Location","latitude","longitude","Population served by facility","Institution","website"
"DK","Aarhus","MDMA",17.7,,2023,,,"no previous data","DK001","Marselisborg","56.1631","10.20256",125900,"Department of Forensic Medicine, Aarhus University","N/A"
"CY","Agia Napa","MDMA",4.12,2.29,2023,2022,79.9,"increase","CY001","Sewage treatment plant of Agia Napa-Paralimni","34.99075444704176","33.9999814169353",70773,"Magda Psichoudaki - Nireas IWRC","N/A"
"PT","Almada","MDMA",13.23,23.58,2023,2022,-43.9,"decrease","PT001","Mutela","38.675187","-9.154345",138685,"INMLCF","N/A"
"NL","Amsterdam","MDMA",194.56,182.32,2023,2022,6.7,"stable","NL001","RWZI Amsterdam-WEST","52.375","4.8666668",689470,"KWR Water Research Institute","N/A"
"TR","Ankara","MDMA",8.81,,2023,,,"no previous data","TR002","Tatlar","39.93436","32.88606",4735531,"Ankara- Lab139","N/A"
"BE","Antwerp Zuid","MDMA",318.23,134.12,2023,2022,137.3,"increase","BE002","Antwerpen-Zuid","51.2","4.39",130218,"Toxicological Centre","N/A"
"GR","Athens","MDMA",3.97,2.39,2023,2022,66.1,"increase","GR001","City of Athens WWTP","37.9928017","23.7658005",3700000,"University of Athens","N/A"
"ES","Barcelona","MDMA",54.82,45.53,2023,2022,20.4,"increase","ES001","Baix Llobregat","41.43","1.97",1200831,"IDAEA-CSIC","N/A"
"LU","Boevange","MDMA",12.7,,2023,,,"no previous data","LU001","Boevange","50.04657","5.93265",8657,"Laboratoire national de santé","N/A"
"IT","Bozen","MDMA",5.61,3.39,2023,2022,65.5,"increase","IT001","Kläranlage Bozen","46.49672","11.358",283000,"Medical University Innsbruck","N/A"
"SK","Bratislava C","MDMA",13.9,12.21,2023,2022,13.8,"increase","SK002","Central","48.14925","17.106991",450000,"University of South Bohemia in České Budejovice - Vodňany","N/A"
"CZ","Brno","MDMA",15.51,16.58,2023,2022,-6.5,"stable","CZ001","Waterworks and sewage of city Brno ","49.19506","16.606837",445000,"FFPW USB","N/A"
"BE","Brussels","MDMA",30.02,53.7,2023,2022,-44.1,"decrease","BE005","Brussel-Noord","50.86","4.36",953987,"Toxicological Centre","N/A"
"RO","Bucharest","MDMA",15.16,,2023,,,"no previous data","RO001","Glina","44.4275","26.10081",2160169,"Toxicological Centre","N/A"
"ES","Castellon","MDMA",8.13,23.32,2023,2022,-65.1,"decrease","ES002","EDAR Castellón","40.23","-0.12",177606,"IUPA","N/A"
"DE","Chemnitz","MDMA",12.84,7.34,2023,2022,74.9,"increase","DE008","Chemnitz","50.827845","12.92137",239402,"Clinical Pharmacology TU Dresden","N/A"
"SI","Domžale-Kamnik","MDMA",6.21,7.58,2023,2022,-18.1,"decrease","SI001","Domžale-Kamnik","46.13788","14.59384",77981,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"DE","Dortmund","MDMA",77.18,11.62,2023,2022,564.2,"increase","DE009","Deusen","51.52","7.46",399700,"Clinical Pharmacology TU Dresden","N/A"
"DE","Dresden","MDMA",12.43,8.18,2023,2022,52,"increase","DE010","Dresden-Kaditz","51.05089","13.73832",671806,"Clinical Pharmacology TU Dresden","N/A"
"DE","Erfurt","MDMA",15.24,13.45,2023,2022,13.3,"increase","DE012","Erfurt","50.984768","11.02988",215323,"Clinical Pharmacology TU Dresden","N/A"
"FI","Espoo","MDMA",18.14,8.3,2023,2022,118.6,"increase","FI001","Blominmäki","60.16","24.71",390000,"THL/Forensic Toxicology","N/A"
"ES","Granada","MDMA",3.27,,2023,,,"no previous data","ES003","Biofactoria Sur","37.17752","-3.59539",233821,"UGR","N/A"
"AT","Graz","MDMA",23.73,12.43,2023,2022,90.9,"increase","AT001","ARA Graz","47.070713","15.439504",462000,"Medical University Innsbruck","N/A"
"SE","Gävle","MDMA",12.27,8.93,2023,2022,37.4,"increase","SE002","Duvbacken ARV","60.674622","17.14183",88668,"RISE","N/A"
