DATAFLOW,LAST UPDATE,freq,unit,sex,age,regis_es,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2014,46.9,
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2015,45.0,
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2016,45.2,
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2017,42.3,
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2018,44.4,
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2019,51.7,
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2020,50.1,
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2021,46.7,b
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2022,45.0,u
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Austria,2023,42.7,u
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Bosnia and Herzegovina,2021,18.1,bu
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Bosnia and Herzegovina,2022,27.7,u
ESTAT:LFSA_UGADRA(1.0),12/12/24 23:00:00,Annual,Percentage,Total,From 15 to 74 years,Registered unemployed receiving benefits/assistance,Less than 1 month,Bosnia and Herzegovina,2023,24.7,u
