DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1995,30290,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1996,30920,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1997,31540,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1998,32610,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1999,33770,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2000,34760,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2001,35090,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2002,35430,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2003,35680,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2004,36360,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2005,36950,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2006,37970,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2007,39270,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2008,39710,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2009,38200,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2010,38800,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2011,39800,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2012,39870,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2013,39540,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2014,39520,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2015,39640,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2016,39970,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2017,40620,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2018,41430,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2019,41970,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2020,39140,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2021,40860,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2022,42540,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2023,41770,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1995,28400,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1996,28720,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1997,29740,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1998,30260,
